title,author,description,categories,avg_rating,ratings_count,publisher,published_date,page_count,isbn10,isbn13
The Rough Guide to Berlin,christian williams,"The fully updated ninth edition of the Rough Guide to Berlin is the definitive guide to this extraordinary city with its fascinating historical sites, world-class museums, cutting edge galleries and architecture and pulsating nightlife. The introduction allows you to chose where to go and what to see, inspired by dozens of photos. Read expert background on everything from the enduring Reichstag, to eastern Berlins' cultural scene and find comprehensive information on Berlin's history, politics, and traditions. Navigation through the book and on the ground is aided by the clearest maps of any guide. You'll also find practical advice on a greatly expanded selection of day-trips from the city into Brandenburg: including Potsdam and Park Sanssouci, Sachsenhausen and the Spreewald. With critical listings of the best places to eat, drink, sleep and party for all budgets, this guide gets under the skin of this dynamic city.",Travel,,,Penguin,2011-01-20,440.0,1405388412,9781405388412
Zeus,tom stone,"Traces the four-thousand-year history of the charismatic father of the Greek gods, from his origins in the Russian steppes and reign on Mount Olympus to his approaching end in Christian Constantinople, in an account that follows the author's journeys to relevant sites in Greek mythology.",Religion,,,Bloomsbury Publishing USA,2008-02-05,340.0,158234518X,9781582345185
Sustainable Tourism in Protected Areas,"paul f. j. eagles, stephen f. mccool, christopher d. haynes, united nations environment programme, world tourism organization","This report tells how to ensure that tourism follows a sustainable path and that it contributes to the sustainable management of protected areas. Guidelines are presented to help readers understand protected area tourism and its management, and practical suggestions are based on theory and practice from around the world. Coverage includes biodiversity and conservation, planning for protected area tourism, culturally sensitive design and operation, visitor management, and human resources. There is no subject index. Eagles teaches at the University of Waterloo, Canada. Annotation copyrighted by Book News, Inc., Portland, OR.",Business & Economics,,,IUCN,2002,191.0,2831706483,9782831706481
Empire's Edge,scott l. malcolmson,"This travel book explores the forgotten countries on the edge of the new Europe—Romania, Bulgaria, Turkey and Uzbekistan. Mixing anecdote and reportage with history and legend, Malcomson teases out the long-running tensions between nation and empire, whether Roman, Byzantine, Ottoman or European. By the author of Tutarani: A Political Journey in the Pacific Islands.",Travel,,,Verso Books,1995-10-17,0.0,1859840981,9781859840986
Theaetetus,plato,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Travel,,,Pinnacle Press,2017-05-24,196.0,1374829609,9781374829602
Vathek,william thomas beckford,"""Vathek"" from William Thomas Beckford. Known as William Beckford, was an English novelist (1760-1844).",,,,CreateSpace,2015-04-09,92.0,151166374X,9781511663748
Sixteen Acres,philip nobel,A behind-the-scenes look at the redevelopment plans for the World Trade Center site examines the deceptions and betrayals as factions and institutions converge to create a new culture at Ground Zero.,Architecture,,,Macmillan,2005-01-04,305.0,0805074945,9780805074949
In Manchuria,michael j. meyer,"In the tradition of 'In Patagonia' and 'Great Plains', Michael Meyer's 'In Manchuria' is a scintillating combination of memoir, contemporary reporting, and historical research, presenting a unique profile of China's legendary northeast territory. For three years, Meyer rented a home in the rice-farming community of Wasteland, hometown to his wife's family, and their personal saga mirrors the tremendous change most of rural China is undergoing, in the form of a privately held rice company that has built new roads, introduced organic farming, and constructed high-rise apartments into which farmers can move in exchange for their land rights. Once a commune, Wasteland is now a company town, a phenomenon happening across China that Meyer documents for the first time; indeed, not since Pearl Buck wrote 'The Good Earth' has anyone brought rural China to life as Meyer has here. Amplifying the story of family and Wasteland, Meyer takes us on a journey across Manchuria's past, a history that explains much about contemporary China-from the fall of the last emperor to Japanese occupation and Communist victory. Through vivid local characters, Meyer illuminates the remnants of the imperial Willow Palisade, Russian and Japanese colonial cities and railways, and the POW camp into which a young American sergeant parachuted to free survivors of the Bataan Death March. 'In Manchuria' is a rich and original chronicle of contemporary China and its people.",Farm life,,,,2015-03-01,352.0,1632860562,9781632860569
Rwanda,"philip briggs, janice booth","A new edition of the only dedicated guidebook available to Rwanda, with all you need to know about gorilla tracking plus detailed coverage of offbeat and lesser-known attractions.",Rwanda,,,,2013-03-19,0.0,1841624187,9781841624181
Lonely Planet Vietnam,"iain stewart, brett atkinson, katie lockhart, james pham, nick ray, diana truong, josh zukas","Lonely Planet's Vietnam is our most comprehensive guide that extensively covers all the country has to offer, with recommendations for both popular and lesser-known experiences. Kayak through Halong Bay, sample street food in Hanoi and immerse yourself in a rich history; all with your trusted travel companion. Inside Lonely Planet's Vietnam Travel Guide: Lonely Planet's Top Picks - a visually inspiring collection of the destination's best experiences and where to have them Itineraries help you build the ultimate trip based on your personal needs and interests Local insights give you a richer, more rewarding travel experience - whether it's history, people, music, landscapes, wildlife, politics Eating and drinking - get the most out of your gastronomic experience as we reveal the regional dishes and drinks you have to try Toolkit - all of the planning tools for solo travellers, LGBTQIA+ travellers, family travellers and accessible travel Colour maps and images throughout Language - essential phrases and language tips Insider tips to save time and money and get around like a local, avoiding crowds and trouble spots Covers Hanoi, Northern Vietnam, Central Vietnam, Southeast Coast, Southwest Highlands, Ho Chi Minh City, Mekong Delta, Siem Reap and the Temples of Angkor and more About Lonely Planet: Lonely Planet, a Red Ventures Company, is the world's number one travel guidebook brand. Providing both inspiring and trustworthy information for every kind of traveller since 1973, Lonely Planet reaches hundreds of millions of travellers each year online and in print and helps them unlock amazing experiences. Visit us at lonelyplanet.com and join our community of followers on Facebook (facebook.com/lonelyplanet), Twitter (@lonelyplanet), Instagram (instagram.com/lonelyplanet), and TikTok (@lonelyplanet). 'Lonely Planet. It's on everyone's bookshelves; it's in every traveller's hands. It's on mobile phones. It's on the Internet. It's everywhere, and it's telling entire generations of people how to travel the world.' Fairfax Media (Australia)",Travel,,,Lonely Planet,2023-11,702.0,1837582173,9781837582174
A Winter in Arabia,freya stark,"Freya Stark is most famous for her travels in Arabia at a time when very few men, let alone women, had fully explored its vast hinterlands. In 1934, she made her first journey to the Hadhramaut in what is now Yemen - the first woman to do so alone. Even though that journey ended in disappointment, sickness and a forced rescue, Stark, undeterred, returned to Yemen two years later. Starting in Mukalla and skirting the fringes of the legendary and unexplored Empty Quarter, she spent the winter searching for Shabwa - ancient capital of the Hadhramaut and a holy grail for generations of explorers. From within Stark's beautifully-crafted and deeply knowledgeable narrative emerges a rare and exquisitely-rendered portrait of the customs and cultures of the tribes of the Arabian Peninsula. ""A Winter in Arabia"" is one of the most important pieces of literature on the region and a book that placed Freya Stark in the pantheon of great writers and explorers of the Arab World. To listen to her voice is to hear the rich echoes of a land whose 'nakedness is clothed in shreds of departed splendour'.",Biography & Autobiography,,,Tauris Parke,2020-05-19,328.0,0755633822,9780755633821
A Narrative of Travels on the Amazon and Rio Negro,alfred russel wallace,,History,,,,1969,416.0,,
The Road to Little Dribbling,bill bryson,"Bill Bryson returns to his internationally beloved topic, Britain, with his first travel book in fifteen years. In 1995, Bill Bryson went on a trip around Britain to celebrate the green and kindly island that had become his home. The hilarious book he wrote about that journey, Notes from a Small Island, became one of the most loved books of recent decades. Now, in this hotly anticipated new travel book, his first in fifteen years and sure to be greeted as the funniest book of the decade, Bryson sets out on a brand-new journey, on a route he dubs the Bryson Line, from Bognor Regis on the south coast to Cape Wrath on the northernmost tip of Scotland. Once again, he will guide us through all that's best and worst about Britain today--while doing that incredibly rare thing of making us laugh out loud in public.",Travel,,,National Geographic Books,2016-11-01,0.0,0385685734,9780385685733
DK Eyewitness Top 10 Stockholm,dk eyewitness,"Explore the best of Stockholm, from beautiful churches, parks, and gardens to lively markets and shopping streets with our Top 10 Travel Guide, chock full of insider tips for every visitor. See Stockholm's spectacular archipelago islands; attend a colorful festival; or explore outdoor activities, museums, and monuments. Our guide has tips for everything from finding fun things to do with children to eating and drinking at the top restaurants, bars, and nightclubs. Discover DK Eyewitness Travel Guide: Top 10 Stockholm True to its name, this Top 10 guidebook covers all major sights and attractions in easy-to-use ""top 10"" lists that help you plan the vacation that's right for you. - ""Don't miss"" destination highlights - Things to do and places to eat, drink, and shop by area - Walking tours and day-trip itineraries - Traveler tips and recommendations - Local drink and dining specialties to try - Museums, festivals, outdoor activities - Creative and quirky best-of lists and more The perfect travel companion: DK Eyewitness Travel Guide: Top 10 Stockholm",Travel,,,Penguin,2018-06-19,287.0,1465478604,9781465478603
Iberia,james a. michener,"Spain is an immemorial land like no other, one that James A. Michener, the Pulitzer Prize–winning author and celebrated citizen of the world, came to love as his own. Iberia is Michener’s enduring nonfiction tribute to his cherished second home. In the fresh and vivid prose that is his trademark, he not only reveals the celebrated history of bullfighters and warrior kings, painters and processions, cathedrals and olive orchards, he also shares the intimate, often hidden country he came to know, where the congeniality of living souls is thrust against the dark weight of history. Wild, contradictory, passionately beautiful, this is Spain as experienced by a master writer. BONUS: This edition includes an excerpt from James A. Michener's Hawaii. Praise for Iberia “From the glories of the Prado to the loneliest stone villages, here is Spain, castle of old dreams and new realities.”—The New York Times “Massive, beautiful . . . unquestionably some of the best writing on Spain [and] the best that Mr. Michener has ever done on any subject.”—The Wall Street Journal “A dazzling panorama . . . one of the richest and most satisfying books about Spain in living memory.”—Saturday Review “Kaleidoscopic . . . This book will make you fall in love with Spain.”—The Houston Post",Travel,,,Dial Press,2013-07-03,978.0,0307834166,9780307834164
Last Chance to See,"douglas adams, mark carwardine, stephen fry","Join zoologist Mark Carwardine and Britain's best-loved wit and raconteur, Stephen Fry, as they follow in their great friend Douglas Adams' footsteps, in search of some of the rarest and most threatened animals on Earth.",Endangered species,,,,2009,0.0,0007290721,9780007290727
An Account of Two Voyages to New-England,john josselyn,"Excerpt from An Account of Two Voyages to New-England: Made During the Years 1638, 1663 The chronological table appended to his new-eng land's Rarities is greatly enlarged in the prefent work. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",Travel,,,Forgotten Books,2017-11-20,224.0,0331540029,9780331540024
Angkor,dawn rooney,"An art historian's guide to the temples of Angkor. Included are background chapters on history, religion and the arts, sections on each temple and sightseeing itineraries around the 35 accessible sites detailed here. The text is illustrated with photographs, maps, plans and elevations.",Travel,,,,1994,244.0,,
DK Eyewitness California,dk eyewitness,"Presents area-by-area information for travelers to California, including details on the state's history, landscape, sights to see, things to do, lodgings, and restaurants.",California,,,DK Eyewitness Travel,2018-05-15,0.0,1465469036,9781465469038
"Narrative of Various Journeys in Balochistan, Afghanistan, and the Punjab; Including a Residence in Those Countries From 1826 to 1838.",charles masson,"Title: Narrative of various Journeys in Balochistan, Afghanistan, and the Punjab; including a residence in those countries from 1826 to 1838. Publisher: British Library, Historical Print Editions The British Library is the national library of the United Kingdom. It is one of the world's largest research libraries holding over 150 million items in all known languages and formats: books, journals, newspapers, sound recordings, patents, maps, stamps, prints and much more. Its collections include around 14 million books, along with substantial additional collections of manuscripts and historical items dating back as far as 300 BC. The HISTORY OF THE MIDDLE EAST collection includes books from the British Library digitised by Microsoft. This collection reflects the changing perceptions of Western historians, travellers, traders, and others surveying the Middle East. Texts and first-person travelogues include illustrated volumes. Other works focus on the earlier history of Persian and Arabic areas of the world. ++++ The below data was compiled from various identification fields in the bibliographic record of this title. This data is provided as an additional tool in helping to insure edition identification: ++++ British Library Masson, Charles; 1842, 1843. 4 vol.; 8Â°. ORW.1986.a.2133 This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",History,,,Hutson Street Press,2025-05-22,0.0,1024290735,9781024290738
An Account of the Principalities of Wallachia and Moldavia,william wilkinson,"Title: An account of the principalities of Wallachia and Moldavia: with ... political observations relating to them. Publisher: British Library, Historical Print Editions The British Library is the national library of the United Kingdom. It is one of the world's largest research libraries holding over 150 million items in all known languages and formats: books, journals, newspapers, sound recordings, patents, maps, stamps, prints and much more. Its collections include around 14 million books, along with substantial additional collections of manuscripts and historical items dating back as far as 300 BC. The GENERAL HISTORICAL collection includes books from the British Library digitised by Microsoft. This varied collection includes material that gives readers a 19th century view of the world. Topics include health, education, economics, agriculture, environment, technology, culture, politics, labour and industry, mining, penal policy, and social order. ++++ The below data was compiled from various identification fields in the bibliographic record of this title. This data is provided as an additional tool in helping to insure edition identification: ++++ British Library Wilkinson, William; 1820. 8Â°. 1048.c.21. This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",History,,,Hutson Street Press,2025-05-22,0.0,1024291251,9781024291254
AMER NOTES FOR GENERAL CIRCULA,charles 1812-1870 dickens,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",History,,,Wentworth Press,2016-08-24,198.0,1360231757,9781360231754
"Tourism, Development and Growth","salah wahab, j. j. j. pigram","Distinguishing between sustainable development and sustainable tourism, the authors examine whether, and in what form, tourism can contribute to sustainable development and growth. Focusing on different types of tourism appropriate to particular situations, the team of leading contributors draws on examples from around the world - Canada, USA, Spain, Belgium, UK, Australia - to explore tourism's contribution to the economic, social, political and environmental advancement of developing countries and the importance of tourism in industrialised nations. This book examines the new policies and initiatives established by both the private sector and the state to pursue sustainable tourism growth and identifies the opportunities and challenges inherent in achieving it.",Business & Economics,,,Psychology Press,1997,328.0,0415160014,9780415160018
Travel Narratives from the Age of Discovery,peter c. mancall,"This is a primary source collection of narratives about the travel and discovery in North and South America, Africa, Asia, and Europe in the 16th century.",History,,,,2006,431.0,0195155971,9780195155976
In Court and Kampong,hugh charles clifford,"In Court and Kampong Being Tales and Sketches of Native Life in the Malay Peninsula by Hugh Charles Clifford The nineteen tales and sketches, which are enclosed within the covers of this Book, relate to certain brown men and obscure things in a distant and very little known corner of the Earth. The Malay Peninsula-that slender tongue of land which projects into the tepid seas at the extreme south of the Asiatic Continent-is but little more than a name to most dwellers in Europe. But, even in the Peninsula itself, and to the majority of those white men whose whole lives have been passed in the Straits of Malacca, the East Coast and the remote interior, of which I chiefly write, are almost as completely unknown. We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience.",,,,Createspace Independent Publishing Platform,2018-07-07,182.0,172247727X,9781722477271
The Horizon History of China,charles patrick fitzgerald,Project report for Graduate Diploma of Business (Shipping),History,,,Forbes Custom Publishing,1969,428.0,,
A Walk in the Woods,bill bryson,"God only knows what possessed Bill Bryson, a reluctant adventurer if ever there was one, to undertake a gruelling hike along the world's longest continuous footpath—The Appalachian Trail. The 2,000-plus-mile trail winds through 14 states, stretching along the east coast of the United States, from Georgia to Maine. It snakes through some of the wildest and most spectacular landscapes in North America, as well as through some of its most poverty-stricken and primitive backwoods areas. With his offbeat sensibility, his eye for the absurd, and his laugh-out-loud sense of humour, Bryson recounts his confrontations with nature at its most uncompromising over his five-month journey. An instant classic, riotously funny, A Walk in the Woods will add a whole new audience to the legions of Bill Bryson fans.",Travel,3.5,9.0,Anchor Canada,2012-05-15,305.0,0385674546,9780385674546
Poets in a Landscape,gilbert highet,"Gilbert Highet was a legendary teacher at Columbia University, admired both for his scholarship and his charisma as a lecturer. Poets in a Landscape is his delightful exploration of Latin literature and the Italian landscape. As Highet writes in his introduction, “I have endeavored to recall some of the greatest Roman poets by describing the places were they lived, recreating their characters and evoking the essence of their work.” The poets are Catullus, Vergil, Propertius, Horace, Tibullus, Ovid, and Juvenal. Highet brings them life, setting them in their historical context and locating them in the physical world, while also offering crisp modern translations of the poets’ finest work. The result is an entirely sui generis amalgam of travel writing, biography, criticism, and pure poetry—altogether an unexcelled introduction to the world of the classics.",Literary Criticism,,,New York Review of Books,2010-03-16,290.0,1590173384,9781590173381
The Return Journey,maeve binchy,"A collection of short stories told by wives, husbands, sons, daughters, lovers and strangers. There are star-crossed travellers who take each other's bags by mistake, only to learn that when you unlock a stranger's suitcase you enter a stranger's life; the house-sitter who moves into her client's life as well as her home; a holiday for four in Greece which has surprising consequences; and the chance encounter at an airport which brings together an unlikely group of people. 583 583.",Holidays,,,,2010,415.0,1409103463,9781409103462
Travels with Charley in Search of America,john steinbeck,"An intimate journey across America, as told by one of its most beloved writers To hear the speech of the real America, to smell the grass and the trees, to see the colors and the light—these were John Steinbeck's goals as he set out, at the age of fifty-eight, to rediscover the country he had been writing about for so many years. With Charley, his French poodle, Steinbeck drives the interstates and the country roads, dines with truckers, encounters bears at Yellowstone and old friends in San Francisco. Along the way he reflects on the American character, racial hostility, the particular form of American loneliness he finds almost everywhere, and the unexpected kindness of strangers.",Travel,,,National Geographic Books,1980-01-31,0.0,0140053204,9780140053203
The Naturalist on the River Amazons (Classic Reprint),henry walter bates,"Excerpt from The Naturalist on the River Amazons Having been urged to prepare a new edition of this work for a wider circle than that contemplated in the former one, I have thought it advisable to condense those portions which, treating of abstruse scientific questions, presuppose a larger amount of Natural History knowledge than an author has a right to expect of the general reader. The personal narrative has been left entire together with those descriptive details likely to interest all classes, young and old, relating to the great river itself, and the wonderful country through which it ﬂows, - the luxuriant primaeval forests that clothe almost every part of it, the climate, productions, and inhabitants. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",,,,Forgotten Books,2015-07-17,434.0,1331620724,9781331620723
Paris in Bloom,georgianna lane,"“Get ready for a beauty overload. It’s food for the soul, it’s a book of dreams and details, of flowers so perfect you want to hug them to you.” —Carla Coulson, author of Paris Tango Paris—City of Love, City of Light, City of Flowers. From elegant floral boutiques to lively flower markets to glorious blooming trees and expansive public gardens, flowers are the essential ingredient to the lush sensory bouquet that is Parisian life. With beautiful photography, Paris in Bloom transports readers on a stunning floral tour of the city, and provides recommendations to the best flower markets and a detailed guide to spring blooms. Timeless in content, Paris in Bloom is a book for Paris lovers to savor again and again, one to keep on the nightstand to conjure fond memories of their first visit and inspire dreams of the next. “Brilliantly captures the splendor of French fleurs with lush photographs and elegant prose . . . A masterpiece!” —Laura Dowling, former chief floral designer at the White House “I don’t know how Georgianna does it. She manages to make Paris, already the most beautiful city in the world, appear even more charming, more elegant and more beautiful than it already is . . . Paris in Bloom is filled with a veritable carpet of pinks and whites, pastels and green portraits that make me let out an audible sigh of joy. This book can re-inspire you to believe that yes, life really is quite beautiful.” —Doni Belau, author of Paris Cocktails “Destined to become a classic of its type, Paris in Bloom is Georgianna Lane’s love letter to Paris and to flowers.”—Gray Levett, editor of Nikon Owner magazine",Photography,,,ABRAMS,2017-03-14,170.0,1683350189,9781683350187
Through the Dark Continent,henry morton stanley,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,,,Palala Press,2015-08-31,658.0,1340646250,9781340646257
Olney Hymns,john newton,"One of the most influential and famous of hymn books that contains the famous hymn ""Amazing Grace"" with others that are still sung in churches today. This edition gives the hymns in poetic format so that the words of each song can stand out and speak for itself of the person of God and truth that can be brought out through song.",Religion,,,Lulu.com,2018-06-30,444.0,1773562509,9781773562506
Ennin's Diary,"円仁, edwin oldfather reischauer",,History,,,,1955,490.0,,
"War, Progress, and the End of History",vladimir sergeyevich solovyov,"In this prophetic, millennial work, written by Russia's greatest philosopher at the end of the last century, the great task facing humanity as progress races to end history is the resistance to evil. Solovyov addresses what seem to him the three main trends of our time: economic materialism, Tolstoyan abstract moralism, and Nietzschean hubris--the first is already present, the second imminent, while the last is the apocalyptic precursor of the Antichrist.","Body, Mind & Spirit",,,Lindisfarne Books,1990,210.0,,
The Tao Teh King,lao tse,"Do you want to read The Tao Teh King? If so then keep reading... Widely recognized as one of the world's great literary classics, Tao Teh King is one of the simplest yet most profound interpretations of man and nature. As a religion, it provides one of the sanest and most enduring of the major religions of mankind. Interpreted here by one of the foremost Western scholars of Eastern philosophies. What are you waiting for The Tao Teh King is one click away, select the ""Buy Now"" button in the top right corner NOW!",Philosophy,,,,2020-07-04,30.0,1800609809,9781800609808
The Soul of a People,h. h. fielding,"'The observance of the law alone entitles to the right of belonging to my religion.'-Saying of the Buddha. For the first few years of my stay in Burma my life was so full of excitement that I had little care or time for any thought but of to-day. There was, first of all, my few months in Upper Burma in the King's time before the war, months which were full of danger and the exhilaration of danger, when all the surroundings were too new and too curious to leave leisure for examination beneath the surface. Then came the flight from Upper Burma at the time of the war, and then the war itself. And this war lasted four years. Not four years of fighting in Burma proper, for most of the Irrawaddy valley was peaceful enough by the end of 1889; but as the central parts quieted down, I was sent to the frontier, first on the North and then on the East by the Chin mountains; so that it was not until 1890 that a[Pg 2] transfer to a more settled part gave me quiet and opportunity for consideration of all I had seen and known. For it was in those years that I gained most of whatever little knowledge I have of the Burmese people.",,,,CreateSpace,2015-04-16,126.0,1511729430,9781511729437
Abraham,david rosenberg,"Provides a history of Abraham, revealing that the original story embedded in the Bible is actually the oldest historical biography, and takes readers on Abraham's journey through the Middle East.",Religion,,,Basic Books (AZ),2006-03-20,388.0,0465070949,9780465070947
Meditations on First Philosophy - in Which the Existence of God and the Immortality of the Soul Are Demonstrated,rene descartes,"The book is made up of six meditations, in which Descartes first discards all belief in things which are not absolutely certain, and then tries to establish what can be known for sure. The meditations were written as if he was meditating for 6 days: each meditation refers to the last one as ""yesterday."" However, Descartes did not take 6 days to complete this work, it actually took several years.",,,,"Ezreads Publications, LLC",2009-02-01,108.0,1615340300,9781615340309
Scribes and Schools,philip r. davies,"Scribes and Schools is an examination of the processes which led to the canonization of the Hebrew Bible. Philip Davies sheds light on the social reasons for the development of the canon and in so doing presents a clear picture of how the Bible came into being. Volumes in the Library of Ancient Israel draw on multiple disciplines--such as archaeology, anthropology, sociology, linguistics, and literary criticism--to illuminate the everyday realities and social subtleties these ancient cultures experienced. This series employs sophisticated methods resulting in original contributions that depict the reality of the people behind the Hebrew Bible and interprets these insights for a wide variety of readers.",Religion,1.0,1.0,Westminster John Knox Press,1998-01-01,236.0,0664227287,9780664227289
The First Crusade and the Idea of Crusading,jonathan riley-smith,"This book delves into the Crusade's organization, its finances, and the division of authority and responsibility among its leaders and their relationships with one another and with their subordinates.",History,,,,1986,248.0,,
What are They Saying about Acts?,mark allan powell,Provides an overview of current scholarship on Acts that will serve as a suitable introduction to that book of the Bible.,Religion,,,Paulist Press,1991,164.0,0809132796,9780809132799
Decadence and Catholicism,ellis hanson,"Romantic writers had found in Christianity a poetic cult of the imagination, an assertion of the spiritual quality of beauty in an age of vulgar materialism. The decadents, a diverse movement of writers, were the climax and exhaustion of this romantic tradition. In their art, they enacted the romance of faith as a protest against the dreariness of modern life. Ellis Hanson teases out two strands--eroticism and aestheticism--that rendered the decadent interest in Catholicism extraordinary. More than any other literary movement, the decadents explored the powerful historical relationship between homoeroticism and Roman Catholicism. Why, throughout history, have so many homosexuals been attracted to Catholic institutions that vociferously condemn homosexuality? This perplexing question is pursued in this elegant and innovative book. Late-nineteenth-century aesthetes found in the Church a peculiar language that gave them a means of artistic and sexual expression. The brilliant cast of characters that parades through this book includes Oscar Wilde, Charles Baudelaire, J.-K. Huysmans, Walter Pater, and Paul Verlaine. Art for these writers was a mystical and erotic experience. In decadent Catholicism we can glimpse the beginnings of a postmodern valorization of perversity and performativity. Catholicism offered both the hysterical symptom and the last hope for paganism amid the dullness of Victorian puritanism and bourgeois materialism.",Literary Criticism,3.5,2.0,Harvard University Press,1997,426.0,0674194446,9780674194441
Confessions,saint augustine,"Written shortly after he became Biship of Hippo, ""Confessions"" highlights Augustine's childhood in Numidia and his riotous youth and early manhood in Carthage, Rome, and Milan. It also chronicles his continuing struggle with sin and his efforts to find satisfaction in Manichaenism and Neoplatonism. Particularly poignant are his mother's tireless efforts to rescue him from self-destruction and his dramatic conversion to the Christian faith at age 32.",Biography & Autobiography,,,Barnes & Noble Classics,2007,0.0,1593082592,9781593082598
Experiencing The World's Religions,michael molloy,"This text successfully addresses what a person should know about religions, and why. The text covers all the essential material and goes beyond traditional approaches to personally connect students with the vitality of the great religions. This edition features updated coverage of world developments.",Religions,,,,2007,576.0,0071101551,9780071101554
The Book of Five Rings,miyamoto musashi,"Along with Sun Tzu's The Art of War, The Book of Five Rings is considered to be one of the most insightful texts on the subtle arts of confrontation and victory to emerge from Asia. Composed in 1643 by the famed duelist and undefeated samurai Miyamoto Musashi, The Book of Five Rings analyses the process of struggle and mastery over conflict that underlies every level of human interaction. For Musashi, the way of the martial arts was a mastery of the mind rather than simply technical prowess--and it is this path to mastery that is the core teaching in The Book of Five Rings. This brilliant manifesto is written not only for martial artists but for anyone who wants to apply the timeless principles of this text to their life.",,,,,2023-07-20,0.0,1446794318,9781446794319
The Art of Leadership- 3rd Edition,d. a. g. heward-mills,,,,,,2015,,1643290533,9781643290539
